Ticker	EntryTime	ExitTime	Return [%]	CAGR [%]	Sharpe Ratio	Max. Drawdown [%]	Win Rate [%]	# Trades	Expectancy [%]	Profit Factor	Duration	Avg. Trade [%]	Max. Trade Duration	Avg. Trade Duration
SPY	2023-12-05 14:30:00+00:00	2025-12-01 20:30:00+00:00	77.63090454101562	33.662431263592964	2.946937853534749	-4.9824287888522445	100.0	24	3.0143563477640587		727 days 06:00:00	2.9829664297717384	40 days 00:00:00	5 days 02:00:00
META	2023-12-05 14:30:00+00:00	2025-12-01 20:30:00+00:00	264.7895962524414	92.23703782441707	2.937183475381663	-5.719029862636105	96.875	35	4.297873452536695	316.55923859015456	727 days 06:00:00	4.187371574362664	11 days 21:00:00	2 days 16:00:00
AAPL	2023-12-05 14:30:00+00:00	2025-12-01 20:30:00+00:00	227.69511596679672	82.10316716857349	3.0663827078420094	-2.136930297191497	100.0	32	4.427951794104639		727 days 06:00:00	4.355697502163802	14 days 02:00:00	4 days 14:00:00
AMZN	2023-12-05 14:30:00+00:00	2025-12-01 20:30:00+00:00	184.63707305908198	69.59839648621599	3.13978000382998	-2.507120339874902	100.0	33	3.7232207946072973		727 days 06:00:00	3.6946342597606874	10 days 01:00:00	3 days 04:00:00
NFLX	2023-12-05 14:30:00+00:00	2025-12-01 20:30:00+00:00	101.89593360900864	42.591120311615846	1.8849027088882704	-12.258373736073525	88.23529411764706	39	2.3862785782719635	9.692570746708427	727 days 06:00:00	2.346678160887805	31 days 01:00:00	4 days 04:00:00
MRNA	2023-12-05 14:30:00+00:00	2025-12-01 20:30:00+00:00	416.9341341400146	129.24080766522016	2.130734653008559	-18.219447425824832	93.93939393939394	39	5.105891205851633	12.32855660467532	727 days 06:00:00	4.958188244899198	14 days 00:00:00	3 days 15:00:00
TSLA	2023-12-05 14:30:00+00:00	2025-12-01 20:30:00+00:00	902.5753884887699	220.3126836253305	1.9505757948862668	-21.612431526712562	90.32258064516128	35	8.307923389571874	14.26699423966019	727 days 06:00:00	7.770116643144664	16 days 01:00:00	4 days 12:00:00
TNA	2023-12-05 14:30:00+00:00	2025-12-01 20:30:00+00:00	821.1520734977723	206.90006917611834	2.647668961069626	-9.421227035499546	96.7741935483871	36	7.645564775082131	89.75502432115628	727 days 06:00:00	7.431614761646066	13 days 01:00:00	3 days 05:00:00
GLD	2023-12-05 14:30:00+00:00	2025-12-01 20:30:00+00:00	93.75117553710938	39.65653834292626	3.0234000626176587	-9.670162140111449	100.0	30	2.6681386202259776		727 days 06:00:00	2.6088490679775145	67 days 23:00:00	6 days 06:00:00
SLV	2023-12-05 14:30:00+00:00	2025-12-01 20:30:00+00:00	242.2012787246705	86.13051358949197	3.595623836750742	-7.6541297820405525	96.15384615384616	31	4.292847306655938	702.7440222007185	727 days 06:00:00	4.235540949297989	45 days 04:00:00	6 days 06:00:00
USO	2023-12-05 14:30:00+00:00	2025-12-01 20:30:00+00:00	226.2506297683716	81.69734524446868	3.3609384029294773	-4.316520019986736	93.75	37	3.814869659156684	27.353072549245486	727 days 06:00:00	3.7737572116124163	9 days 22:00:00	3 days 20:00:00
BAC	2023-12-05 14:30:00+00:00	2025-12-01 20:30:00+00:00	76.69004188537598	33.30442756714107	1.516232822899136	-18.284400707869498	90.0	27	2.804314690605321	4.491131602518156	727 days 06:00:00	2.70208172059212	27 days 22:00:00	5 days 23:00:00
CVX	2023-12-05 14:30:00+00:00	2025-12-01 20:30:00+00:00	107.66596801757812	44.63475760618154	2.7696873321301134	-11.224289432533595	96.29629629629629	31	2.7825765628186607	32.62293715969082	727 days 06:00:00	2.758084129809757	58 days 01:00:00	6 days 01:00:00
XOM	2023-12-05 14:30:00+00:00	2025-12-01 20:30:00+00:00	166.0134705352783	63.90061769707991	4.122020634642249	-5.676808307530356	96.7741935483871	35	3.204112561019045		727 days 06:00:00	3.175675177588677	12 days 01:00:00	4 days 06:00:00
QQQ	2023-12-05 14:30:00+00:00	2025-12-01 20:30:00+00:00	138.8537799072266	55.22458546884641	3.185446699256663	-5.600550786299674	96.42857142857143	32	3.253398731608961	339.5616925128149	727 days 06:00:00	3.2157475026489912	16 days 02:00:00	4 days 08:00:00
MSFT	2023-12-05 14:30:00+00:00	2025-12-01 20:30:00+00:00	143.05924011230462	56.59882295282319	3.440384877533706	-3.4767628129385164	96.42857142857143	35	3.3556736288591247	97.81077226727909	727 days 06:00:00	3.27087002445019	13 days 20:00:00	4 days 15:00:00
NVDA	2023-12-05 14:30:00+00:00	2025-12-01 20:30:00+00:00	833.6048363494875	208.98833414512464	2.8261822369624796	-7.111002146402878	100.0	37	7.863964487978213		727 days 06:00:00	7.720516798409394	11 days 06:00:00	3 days 18:00:00
WMT	2023-12-05 14:30:00+00:00	2025-12-01 20:30:00+00:00	91.47101379394535	38.82409796860442	3.047726083435129	-3.4120054103723207	100.0	26	2.907697183994635		727 days 06:00:00	2.8724273436192993	8 days 21:00:00	3 days 03:00:00
BA	2023-12-05 14:30:00+00:00	2025-12-01 20:30:00+00:00	244.63390075683583	86.79754842704355	2.9293723013004613	-5.010178382150066	100.0	38	4.059399522211106		727 days 06:00:00	3.9637925819650865	12 days 21:00:00	3 days 23:00:00
DIS	2023-12-05 14:30:00+00:00	2025-12-01 20:30:00+00:00	164.10122955322248	63.304551726139024	3.4372001934918788	-2.6136643488761546	97.22222222222221	42	2.671172418697304	1964.2717101782046	727 days 06:00:00	2.643670531413478	10 days 22:00:00	3 days 13:00:00
CAT	2023-12-05 14:30:00+00:00	2025-12-01 20:30:00+00:00	199.1017037963869	73.89748683623677	2.5663977259496042	-6.733003402386306	100.0	29	4.588352222131107		727 days 06:00:00	4.527252202091958	9 days 22:00:00	3 days 18:00:00
